Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Java-Code,,,,2566-11-07 16:33:26,2566-11-07 16:33:30,3.653s,PASSED
,,,,,,,
Test Cases/Training-Java/Training-1,,,,2566-11-07 16:33:27,2566-11-07 16:33:27,0.411s,PASSED
number = 10,,,,2566-11-07 16:33:27,2566-11-07 16:33:27,0.002s,PASSED
"name = ""Palm""",,,,2566-11-07 16:33:27,2566-11-07 16:33:27,0.001s,PASSED
pi = 3.14,,,,2566-11-07 16:33:27,2566-11-07 16:33:27,0.001s,PASSED
"println(""Number = "" + number)",,,,2566-11-07 16:33:27,2566-11-07 16:33:27,0.004s,PASSED
"println(""Name = "" + name)",,,,2566-11-07 16:33:27,2566-11-07 16:33:27,0.001s,PASSED
"println(""pi ="" + pi)",,,,2566-11-07 16:33:27,2566-11-07 16:33:27,0.001s,PASSED
"strNumber = ""15""",,,,2566-11-07 16:33:27,2566-11-07 16:33:27,0.000s,PASSED
num = Integer.parseInt(strNumber),,,,2566-11-07 16:33:27,2566-11-07 16:33:27,0.001s,PASSED
println(TYPE),,,,2566-11-07 16:33:27,2566-11-07 16:33:27,0.005s,PASSED
"println(""Number = "" + num)",,,,2566-11-07 16:33:27,2566-11-07 16:33:27,0.001s,PASSED
"obj = ""Hello""",,,,2566-11-07 16:33:27,2566-11-07 16:33:27,0.000s,PASSED
cls = obj.getClass(),,,,2566-11-07 16:33:27,2566-11-07 16:33:27,0.001s,PASSED
"println(""Type = "" + cls.getName())",,,,2566-11-07 16:33:27,2566-11-07 16:33:27,0.002s,PASSED
,,,,,,,
Test Cases/Training-Java/Training-2-Condition,,,,2566-11-07 16:33:27,2566-11-07 16:33:27,0.372s,PASSED
number = 5,,,,2566-11-07 16:33:27,2566-11-07 16:33:27,0.002s,PASSED
if (number > 5),,,,2566-11-07 16:33:27,2566-11-07 16:33:27,0.003s,PASSED
else if (number == 5),,,,2566-11-07 16:33:27,2566-11-07 16:33:27,0.004s,PASSED
,,,,,,,
Test Cases/Training-Java/Training-3-ControlFlow,,,,2566-11-07 16:33:27,2566-11-07 16:33:28,0.479s,PASSED
"for ([i = 0, i <= 3, (i++)])",,,,2566-11-07 16:33:28,2566-11-07 16:33:28,0.034s,PASSED
i = 1,,,,2566-11-07 16:33:28,2566-11-07 16:33:28,0.000s,PASSED
j = 1,,,,2566-11-07 16:33:28,2566-11-07 16:33:28,0.000s,PASSED
"for ([<not implemented yet for class: org.codehaus.groovy.ast.expr.EmptyExpression>, i <= 3 && j <= 5, (j++)])",,,,2566-11-07 16:33:28,2566-11-07 16:33:28,0.030s,PASSED
,,,,,,,
Test Cases/Training-Java/Training-4-Arrays,,,,2566-11-07 16:33:28,2566-11-07 16:33:28,0.297s,PASSED
"numbers = [1, 2, 3, 4, 5]",,,,2566-11-07 16:33:28,2566-11-07 16:33:28,0.001s,PASSED
firstElement = numbers[0],,,,2566-11-07 16:33:28,2566-11-07 16:33:28,0.000s,PASSED
secondElement = numbers[1],,,,2566-11-07 16:33:28,2566-11-07 16:33:28,0.002s,PASSED
sum = 0,,,,2566-11-07 16:33:28,2566-11-07 16:33:28,0.000s,PASSED
for (def i : numbers),,,,2566-11-07 16:33:28,2566-11-07 16:33:28,0.007s,PASSED
"println(""Total = "" + sum)",,,,2566-11-07 16:33:28,2566-11-07 16:33:28,0.000s,PASSED
,,,,,,,
Test Cases/Training-Java/Training-5-Function,,,,2566-11-07 16:33:28,2566-11-07 16:33:28,0.320s,PASSED
a = 20,,,,2566-11-07 16:33:28,2566-11-07 16:33:28,0.001s,PASSED
b = 30,,,,2566-11-07 16:33:28,2566-11-07 16:33:28,0.001s,PASSED
"c = example.Training.add(a, b)",,,,2566-11-07 16:33:28,2566-11-07 16:33:28,0.008s,PASSED
"println(""Sum : "" + c)",,,,2566-11-07 16:33:28,2566-11-07 16:33:28,0.000s,PASSED
"d = example.Training.diff(a, b)",,,,2566-11-07 16:33:28,2566-11-07 16:33:28,0.003s,PASSED
"println(""Remain : "" + d)",,,,2566-11-07 16:33:28,2566-11-07 16:33:28,0.001s,PASSED
,,,,,,,
Test Cases/Training-Java/Training-6-Concat,,,,2566-11-07 16:33:28,2566-11-07 16:33:29,0.260s,PASSED
"FirstName = ""Wisanu""",,,,2566-11-07 16:33:29,2566-11-07 16:33:29,0.001s,PASSED
"LastName = ""Simalai""",,,,2566-11-07 16:33:29,2566-11-07 16:33:29,0.000s,PASSED
"FullName = FirstName + "" "" + LastName",,,,2566-11-07 16:33:29,2566-11-07 16:33:29,0.000s,PASSED
"println(""Fullname : "" + FullName)",,,,2566-11-07 16:33:29,2566-11-07 16:33:29,0.000s,PASSED
,,,,,,,
Test Cases/Training-Java/Training-7-Replace,,,,2566-11-07 16:33:29,2566-11-07 16:33:29,0.263s,PASSED
"sentence = ""Hello, world! Hello, Java!""",,,,2566-11-07 16:33:29,2566-11-07 16:33:29,0.000s,PASSED
println(sentence),,,,2566-11-07 16:33:29,2566-11-07 16:33:29,0.001s,PASSED
"newSentence = sentence.replace("" Hello"", "" Hi"")",,,,2566-11-07 16:33:29,2566-11-07 16:33:29,0.001s,PASSED
